CRBI,RBI,CAtBat,AtBat,Walks,Assists,PutOuts,Years,NewLeague,Runs,Salary
29.0,29.0,293.0,293.0,14.0,33.0,446.0,1.0,0,30.0,278.18808137866597
414.0,38.0,3449.0,315.0,39.0,43.0,632.0,14.0,1,24.0,475.0
266.0,72.0,1624.0,479.0,76.0,82.0,880.0,3.0,0,66.0,480.0
838.0,78.0,5628.0,496.0,37.0,11.0,200.0,11.0,1,65.0,500.0
46.0,42.0,396.0,321.0,30.0,40.0,805.0,2.0,1,39.0,91.5
336.0,51.0,4408.0,594.0,35.0,421.0,282.0,11.0,0,74.0,750.0
9.0,8.0,214.0,185.0,21.0,127.0,76.0,2.0,0,23.0,70.0
37.0,24.0,509.0,298.0,7.0,283.0,121.0,3.0,0,24.0,100.0
34.0,32.0,341.0,323.0,8.0,290.0,143.0,2.0,1,26.0,75.0
890.0,66.0,5206.0,401.0,65.0,0.0,0.0,13.0,0,49.0,1100.0
504.0,75.0,4631.0,574.0,59.0,445.0,238.0,10.0,0,107.0,517.143
186.0,26.0,1876.0,202.0,27.0,45.0,304.0,9.0,1,31.0,512.5
204.0,61.0,1512.0,418.0,47.0,11.0,211.0,4.0,1,48.0,550.0
103.0,11.0,1941.0,239.0,22.0,151.0,121.0,6.0,0,30.0,700.0
290.0,27.0,3231.0,196.0,30.0,45.0,80.0,13.0,1,29.0,240.0
16.0,15.0,201.0,183.0,11.0,0.0,118.0,3.0,0,20.0,216.71578513222693
993.0,75.0,8068.0,568.0,73.0,290.0,105.0,15.0,1,89.0,775.0
23.0,8.0,479.0,190.0,15.0,177.0,102.0,5.0,0,24.0,175.0
658.0,43.0,5233.0,407.0,65.0,88.0,912.0,12.0,0,57.0,564.4149660813263
82.0,22.0,727.0,127.0,14.0,22.0,202.0,8.0,1,16.0,135.0
48.0,48.0,413.0,413.0,65.0,9.0,280.0,1.0,1,72.0,100.0
43.0,43.0,426.0,426.0,62.0,22.0,361.0,1.0,1,55.0,115.0
9.0,2.0,84.0,22.0,1.0,84.0,812.0,6.0,0,4.0,153.2763873176418
251.0,62.0,1924.0,472.0,74.0,55.0,518.0,6.0,1,60.0,600.0
1072.0,102.0,8424.0,629.0,40.0,157.0,1067.0,18.0,0,73.0,776.667
198.0,51.0,2695.0,587.0,70.0,9.0,434.0,6.0,0,92.0,765.0
108.0,18.0,1931.0,324.0,22.0,3.0,222.0,7.0,1,32.0,708.333
327.0,56.0,2331.0,474.0,40.0,83.0,732.0,10.0,1,50.0,750.0
182.0,37.0,2308.0,550.0,81.0,329.0,262.0,5.0,1,92.0,625.0
734.0,95.0,5201.0,513.0,90.0,5.0,267.0,14.0,0,90.0,900.0
864.0,30.0,6890.0,313.0,39.0,221.0,127.0,17.0,0,42.0,779.1371876432524
46.0,36.0,591.0,419.0,22.0,7.0,226.0,3.0,1,55.0,110.0
652.0,87.0,3571.0,517.0,52.0,102.0,1301.1900000000012,9.0,1,70.0,1027.509856970887
208.0,80.0,1646.0,583.0,56.0,292.0,109.0,5.0,0,83.0,612.5
132.0,25.0,1309.0,204.0,12.0,46.0,419.0,7.0,0,23.0,300.0
803.0,60.0,6207.0,379.0,30.0,170.0,72.0,14.0,1,38.0,850.0
86.0,10.0,1053.0,161.0,17.0,149.0,70.0,4.0,0,19.0,193.17189864777575
29.0,25.0,350.0,268.0,15.0,59.0,442.0,2.0,1,24.0,90.0
901.0,53.0,5913.0,346.0,30.0,0.0,0.0,16.0,0,31.0,911.917287976861
