iter	RMSE
0	24554.80799
1	23510.00563
2	21878.1708
3	20423.9217
4	19101.04138
5	17937.00054
6	16837.87275
7	15878.09077
8	15056.10068
9	14154.97383
10	13381.85881
11	12555.01372
12	11877.88071
13	11198.97818
14	10616.98103
15	10009.55934
16	9456.198171
17	8953.154075
18	8516.266939
19	8212.742734
20	7807.175938
21	7491.619181
22	7152.673863
23	6857.87902
24	6620.006094
25	6402.687191
26	6192.945691
27	6054.318605
28	5866.332086
29	5649.024131
30	5497.557322
31	5353.508153
32	5195.060927
33	5090.198594
34	4989.808472
35	4894.114303
36	4795.950343
37	4691.092078
38	4622.66285
39	4541.408249
40	4446.443585
41	4382.032232
42	4297.255163
43	4216.733837
44	4143.951632
45	4077.610733
46	4026.484153
47	3969.960823
48	3917.425346
49	3885.254465
