iter	RMSE
0	70810.08852
1	67053.73924
2	63806.31672
3	60574.43158
4	58044.47592
5	55518.68946
6	53174.15712
7	50823.18802
8	48805.66513
9	47043.72517
10	45416.52348
11	43981.61761
12	42465.25031
13	41273.77568
14	40099.73803
15	39001.94269
16	38154.23068
17	37255.58337
18	36490.02054
19	35915.56177
20	35294.50885
21	34763.07577
22	34290.02129
23	33775.22017
24	33336.32644
25	32931.88488
26	32609.10953
27	32315.68855
28	31941.72336
29	31628.06494
30	31289.83152
31	31089.82779
32	30815.46905
33	30600.47183
34	30368.20871
35	30032.70698
36	29842.87373
37	29639.89307
38	29468.56995
39	29328.79672
40	29204.01244
41	29080.99416
42	28944.15336
43	28859.17629
44	28690.95531
45	28575.44093
46	28510.6478
47	28406.31383
48	28322.02457
49	28246.76596
50	28186.85354
51	28136.10983
52	28073.64651
53	28013.76665
54	27961.07924
55	27928.03999
56	27886.0037
57	27674.74572
58	27640.85498
59	27604.19137
60	27420.37684
61	27386.14126
62	27344.1929
63	27296.2221
64	27234.91394
65	27180.58629
66	27129.52819
67	27101.17999
68	27075.96483
69	27057.1077
70	27009.20682
71	26937.70805
72	26904.993
73	26861.04222
74	26842.74003
75	26800.79237
76	26658.38488
77	26530.85084
78	26505.33627
79	26391.03618
80	26360.50173
81	26344.53806
82	26333.37705
83	26261.99907
84	26192.59144
85	26169.52751
86	26080.37673
87	26000.39092
88	25928.53407
89	25880.31046
90	25816.32507
91	25758.67904
92	25733.92921
93	25682.11995
94	25663.62392
95	25643.05988
96	25593.50466
97	25550.76471
98	25512.04139
99	25483.56457
100	25450.51028
101	25435.67447
102	25409.48386
103	25380.5299
104	25329.7234
105	25303.24039
106	25280.77609
107	25265.29487
108	25242.17978
109	25228.97511
110	25191.48765
111	25183.79157
112	25140.07018
113	25071.25735
114	25050.56283
115	25034.63311
116	25026.62187
117	25019.56197
118	24989.39149
119	24966.68064
120	24938.25128
121	24930.5549
122	24923.16721
123	24916.70614
124	24857.22169
125	24842.95399
126	24822.68894
127	24772.75455
128	24758.23916
129	24720.5563
130	24702.39668
131	24696.58527
132	24671.72975
133	24643.98468
134	24638.56061
135	24627.66244
136	24607.52565
137	24594.84657
138	24562.88977
139	24519.71379
140	24513.18022
141	24497.74371
142	24495.50024
143	24452.29251
144	24418.04258
145	24376.73211
146	24359.2934
147	24354.12012
148	24319.12962
149	24290.24598
