iter	Passed	Remaining
0	0	70
1	0	59
2	1	54
3	1	53
4	1	50
5	2	49
6	2	48
7	2	49
8	3	48
9	3	48
10	3	47
11	4	46
12	4	45
13	4	44
14	4	44
15	5	43
16	5	42
17	5	42
18	6	41
19	6	41
20	6	40
21	6	40
22	7	40
23	7	39
24	7	39
25	8	40
26	8	39
27	9	40
28	9	40
29	9	39
30	10	39
31	10	38
32	10	38
33	11	37
34	11	37
35	11	37
36	12	37
37	12	36
38	12	36
39	13	36
40	13	35
41	13	35
42	14	34
43	14	34
44	14	33
45	14	33
46	15	33
47	15	32
48	15	32
49	16	32
50	16	31
51	16	31
52	16	30
53	17	30
54	17	30
55	17	29
56	17	29
57	18	28
58	18	28
59	18	28
60	19	27
61	19	27
62	19	26
63	19	26
64	20	26
65	20	26
66	20	25
67	21	25
68	21	24
69	21	24
70	21	24
71	22	23
72	22	23
73	22	23
74	22	22
75	23	22
76	23	22
77	23	21
78	24	21
79	24	21
80	24	20
81	24	20
82	25	20
83	25	19
84	25	19
85	25	19
86	26	19
87	26	18
88	26	18
89	27	18
90	27	17
91	27	17
92	27	17
93	28	16
94	28	16
95	28	16
96	28	15
97	29	15
98	29	15
99	29	14
100	30	14
101	30	14
102	30	13
103	30	13
104	31	13
105	31	13
106	31	12
107	31	12
108	32	12
109	32	11
110	32	11
111	32	11
112	33	10
113	33	10
114	33	10
115	34	9
116	34	9
117	34	9
118	34	9
119	35	8
120	35	8
121	35	8
122	35	7
123	36	7
124	36	7
125	36	6
126	36	6
127	37	6
128	37	6
129	37	5
130	38	5
131	38	5
132	38	4
133	38	4
134	39	4
135	39	4
136	39	3
137	40	3
138	40	3
139	40	2
140	40	2
141	41	2
142	41	2
143	41	1
144	42	1
145	42	1
146	42	0
147	42	0
148	43	0
149	43	0
