iter	RMSE
0	76636.91365
1	72381.56796
2	68620.91406
3	64897.85556
4	61625.73223
5	58405.52007
6	56113.59478
7	53671.35223
8	51392.87217
9	49151.85682
10	47288.21642
11	45532.57761
12	43916.77735
13	42521.29307
14	41032.93813
15	39893.84277
16	38838.33276
17	38068.9105
18	36976.81223
19	35893.869
20	35149.35235
21	34348.39534
22	33754.81177
23	33147.62702
24	32625.72891
25	32100.57545
26	31489.08777
27	31131.14212
28	30580.93897
29	30022.71209
30	29534.11657
31	28938.26695
32	28525.17866
33	28161.88121
34	27846.14465
35	27492.6069
36	27052.13496
37	26857.19916
38	26494.11441
39	26220.45426
40	25813.57152
41	25524.46549
42	25220.46411
43	24947.74012
44	24740.66682
45	24547.57543
46	24466.78559
47	24278.26537
48	24083.56976
49	23932.96254
50	23797.85628
51	23552.69894
52	23373.46474
53	23314.14127
54	23147.86799
55	23027.22465
56	22871.55926
57	22771.29276
58	22689.30429
59	22608.04959
60	22472.20027
61	22363.68398
62	22262.57969
63	22155.0062
64	22118.52528
65	21961.88063
66	21907.86953
67	21753.71923
68	21652.88223
69	21553.07358
70	21458.8365
71	21318.30197
72	21214.72903
73	21145.85128
74	21030.26626
75	20914.12862
76	20803.7121
77	20641.72091
78	20490.12375
79	20417.45174
80	20382.27644
81	20348.86043
82	20246.72032
83	20137.85685
84	20062.38363
85	19970.43485
86	19843.66273
87	19731.72568
88	19628.20323
89	19561.82373
90	19475.37489
91	19440.66806
92	19386.11814
93	19319.03864
94	19297.21153
95	19186.23266
96	19165.35479
97	19143.61006
98	19124.72158
99	19008.98992
