iter	Passed	Remaining
0	5	540
1	11	576
2	18	600
3	25	608
4	32	610
5	38	598
6	45	606
7	52	598
8	58	591
9	64	580
10	69	565
11	75	551
12	79	533
13	84	516
14	88	501
15	93	491
16	98	478
17	102	469
18	107	459
19	112	448
20	117	440
21	121	429
22	124	418
23	129	411
24	133	401
25	138	395
26	142	385
27	147	378
28	151	371
29	156	364
30	161	359
31	167	356
32	178	362
33	192	372
34	198	368
35	204	363
36	223	381
37	229	374
38	235	368
39	241	362
40	247	355
41	252	348
42	257	341
43	262	334
44	266	326
45	271	318
46	275	310
47	280	303
48	298	311
49	304	304
50	310	297
51	316	291
52	328	291
53	334	284
54	340	278
55	345	271
56	350	264
57	356	258
58	361	251
59	366	244
60	370	237
61	375	230
62	380	223
63	384	216
64	389	209
65	394	203
66	400	197
67	405	190
68	414	186
69	419	179
70	424	173
71	428	166
72	433	160
73	437	153
74	442	147
75	447	141
76	451	134
77	455	128
78	460	122
79	465	116
80	469	110
81	475	104
82	480	98
83	484	92
84	489	86
85	494	80
86	498	74
87	519	70
88	525	64
89	531	59
90	537	53
91	542	47
92	564	42
93	578	36
94	584	30
95	591	24
96	596	18
97	602	12
98	607	6
99	613	0
